timestamp,elapsed_s,force_parsed,encoder_pulses_in_tick,encoder_RPM,short_output,long_output
17:00:40.502,0.201,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:40.752,0.451,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:41.002,0.701,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:41.252,0.951,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:41.502,1.202,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:41.753,1.453,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:42.003,1.702,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:42.253,1.952,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:42.503,2.202,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:42.753,2.452,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:43.003,2.702,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:43.253,2.953,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:43.503,3.203,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:43.754,3.453,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:44.004,3.703,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:44.254,3.953,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:44.504,4.203,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:44.754,4.453,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:45.004,4.704,0.0,0,0.0,"-  0.00  N  
","T: + 0.00 N
"
17:00:45.254,4.954,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:45.504,5.204,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:00:45.755,5.454,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
