timestamp,elapsed_s,force_parsed,encoder_pulses_in_tick,encoder_RPM,short_output,long_output
17:36:23.174,0.203,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:23.422,0.451,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:23.673,0.701,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:23.923,0.951,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:24.173,1.202,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:24.423,1.452,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:24.673,1.702,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:24.923,1.952,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:25.173,2.202,0.0,0,0.0,"+  0.00  N  
","C: - 0.00 N
"
17:36:25.424,2.452,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:25.674,2.702,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:25.924,2.952,0.0,0,0.0,"+  0.00  N  
","C: - 0.00 N
"
17:36:26.174,3.203,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:26.424,3.453,0.0,0,0.0,"+  0.00  N  
","C: - 0.00 N
"
17:36:26.674,3.703,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:26.924,3.953,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:27.174,4.203,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:27.424,4.453,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:27.675,4.704,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:27.925,4.954,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:28.175,5.204,0.0,0,0.0,"-  0.00  N  
","T: + 0.00 N
"
17:36:28.426,5.455,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:28.676,5.705,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:28.926,5.955,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:29.176,6.205,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:29.427,6.455,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:29.677,6.706,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:29.927,6.956,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:30.177,7.206,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:30.428,7.456,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:30.677,7.706,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:30.928,7.956,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:31.178,8.207,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:31.428,8.457,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:31.678,8.707,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:31.928,8.957,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:32.179,9.207,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:32.429,9.457,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:32.679,9.708,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:32.929,9.958,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:33.180,10.208,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:33.430,10.459,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:33.680,10.709,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:33.930,10.959,0.0,0,0.0,"+  0.00  N  
","T: + 0.00 N
"
17:36:34.181,11.209,0.0,140,33.6,"+  0.00  N  
","T: + 0.00 N
"
17:36:34.430,11.459,0.0,803,192.72,"+  0.00  N  
","T: + 0.00 N
"
17:36:34.680,11.709,0.0,846,203.04,"+  0.00  N  
","T: + 0.00 N
"
17:36:34.930,11.959,0.0,817,196.08,"+  0.00  N  
","T: + 0.00 N
"
17:36:35.180,12.209,0.0,828,198.72,"+  0.00  N  
","T: + 0.00 N
"
17:36:35.430,12.459,0.0,882,211.68,"+  0.00  N  
","T: + 0.00 N
"
17:36:35.680,12.709,0.0,730,175.2,"+  0.00  N  
","T: + 0.00 N
"
17:36:35.930,12.959,0.0,827,198.48,"+  0.00  N  
","T: + 0.00 N
"
17:36:36.181,13.21,0.0,1103,264.72,"+  0.00  N  
","T: + 0.00 N
"
17:36:36.431,13.46,0.3,1654,396.96,"+  0.30  N  
","T: + 1.45 N
"
17:36:36.681,13.71,3.3,1646,395.04,"+  3.30  N  
","T: + 5.20 N
"
17:36:36.931,13.96,3.7,1645,394.8,"+  3.70  N  
","T: + 4.70 N
"
17:36:37.181,14.21,4.2,1667,400.08,"+  4.20  N  
","T: + 5.10 N
"
17:36:37.431,14.46,4.9,1670,400.8,"+  4.90  N  
","T: + 5.10 N
"
17:36:37.681,14.71,5.6,1631,391.44,"+  5.60  N  
","T: + 4.60 N
"
17:36:37.932,14.96,5.65,1661,398.64,"+  5.65  N  
","T: + 5.00 N
"
17:36:38.182,15.211,5.7,1633,391.92,"+  5.70  N  
","T: + 5.40 N
"
17:36:38.432,15.461,5.85,1684,404.16,"+  5.85  N  
","T: + 6.05 N
"
17:36:38.682,15.711,5.0,1661,398.64,"+  5.00  N  
","T: + 5.40 N
"
17:36:38.932,15.961,4.85,1625,390.0,"+  4.85  N  
","T: + 5.40 N
"
17:36:39.182,16.211,5.45,1687,404.88,"+  5.45  N  
","T: + 5.65 N
"
17:36:39.433,16.462,6.2,1645,394.8,"+  6.20  N  
","T: + 4.40 N
"
17:36:39.683,16.712,5.4,1647,395.28,"+  5.40  N  
","T: + 6.00 N
"
17:36:39.933,16.962,5.95,1656,397.44,"+  5.95  N  
","T: + 6.10 N
"
17:36:40.183,17.212,5.2,1645,394.8,"+  5.20  N  
","T: + 5.55 N
"
17:36:40.433,17.462,4.9,1667,400.08,"+  4.90  N  
","T: + 5.70 N
"
17:36:40.683,17.712,6.1,1634,392.16,"+  6.10  N  
","T: + 5.75 N
"
17:36:40.933,17.962,5.4,1654,396.96,"+  5.40  N  
","T: + 4.40 N
"
17:36:41.183,18.212,5.65,1818,436.32,"+  5.65  N  
","T: + 7.25 N
"
17:36:41.434,18.462,6.65,1757,421.68,"+  6.65  N  
","T: + 6.75 N
"
17:36:41.684,18.713,6.1,1787,428.88,"+  6.10  N  
","T: + 6.65 N
"
17:36:41.934,18.963,6.5,1797,431.28,"+  6.50  N  
","T: + 6.40 N
"
17:36:42.184,19.213,6.7,1878,450.72,"+  6.70  N  
","T: + 6.95 N
"
17:36:42.434,19.463,6.7,1852,444.48,"+  6.70  N  
","T: + 6.80 N
"
17:36:42.684,19.713,7.1,1897,455.28,"+  7.10  N  
","T: + 7.10 N
"
17:36:42.934,19.963,6.45,1864,447.36,"+  6.45  N  
","T: + 7.00 N
"
17:36:43.184,20.213,6.8,1858,445.92,"+  6.80  N  
","T: + 6.70 N
"
17:36:43.435,20.463,6.8,1892,454.08,"+  6.80  N  
","T: + 7.45 N
"
17:36:43.684,20.713,6.6,1865,447.6,"+  6.60  N  
","T: + 6.75 N
"
17:36:43.935,20.963,6.85,1865,447.6,"+  6.85  N  
","T: + 7.45 N
"
17:36:44.185,21.214,6.8,1890,453.6,"+  6.80  N  
","T: + 6.80 N
"
17:36:44.435,21.464,7.1,1849,443.76,"+  7.10  N  
","T: + 6.75 N
"
17:36:44.686,21.715,7.05,1873,449.52,"+  7.05  N  
","T: + 6.50 N
"
17:36:44.936,21.965,7.3,1856,445.44,"+  7.30  N  
","T: + 6.55 N
"
17:36:45.186,22.215,7.25,1858,445.92,"+  7.25  N  
","T: + 7.05 N
"
17:36:45.436,22.465,7.05,1886,452.64,"+  7.05  N  
","T: + 6.65 N
"
17:36:45.686,22.715,7.55,1853,444.72,"+  7.55  N  
","T: + 7.15 N
"
17:36:45.937,22.966,7.05,1920,460.8,"+  7.05  N  
","T: + 6.85 N
"
17:36:46.187,23.216,7.05,1877,450.48,"+  7.05  N  
","T: + 7.30 N
"
17:36:46.437,23.466,7.1,1861,446.64,"+  7.10  N  
","T: + 7.15 N
"
17:36:46.687,23.716,7.05,1842,442.08,"+  7.05  N  
","T: + 7.25 N
"
17:36:46.937,23.966,6.7,1876,450.24,"+  6.70  N  
","T: + 7.40 N
"
17:36:47.188,24.217,6.9,1966,471.84,"+  6.90  N  
","T: + 8.00 N
"
17:36:47.438,24.466,7.3,1941,465.84,"+  7.30  N  
","T: + 8.10 N
"
17:36:47.688,24.717,7.4,1947,467.28,"+  7.40  N  
","T: + 7.25 N
"
17:36:47.938,24.967,7.9,1968,472.32,"+  7.90  N  
","T: + 8.30 N
"
17:36:48.188,25.217,8.05,2069,496.56,"+  8.05  N  
","T: + 8.45 N
"
17:36:48.439,25.467,8.2,2078,498.72,"+  8.20  N  
","T: + 8.85 N
"
17:36:48.689,25.717,8.05,2065,495.6,"+  8.05  N  
","T: + 8.15 N
"
17:36:48.939,25.968,8.85,2008,481.92,"+  8.85  N  
","T: + 8.45 N
"
17:36:49.189,26.218,8.75,2051,492.24,"+  8.75  N  
","T: + 8.60 N
"
17:36:49.439,26.468,8.45,2041,489.84,"+  8.45  N  
","T: + 9.00 N
"
17:36:49.689,26.718,8.1,2002,480.48,"+  8.10  N  
","T: + 8.90 N
"
17:36:49.940,26.968,8.05,2058,493.92,"+  8.05  N  
","T: + 8.15 N
"
