timestamp,elapsed_s,force_parsed,encoder_pulses_in_tick,encoder_RPM,short_output,long_output
16:47:06.569,0.201,0.2,0,0.0,"+  0.20  N  
","T: + 0.25 N
"
16:47:06.819,0.451,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:07.069,0.701,0.25,0,0.0,"+  0.25  N  
","T: + 0.30 N
"
16:47:07.319,0.952,0.2,0,0.0,"+  0.20  N  
","T: + 0.20 N
"
16:47:07.569,1.202,0.2,0,0.0,"+  0.20  N  
","T: + 0.20 N
"
16:47:07.819,1.452,0.25,0,0.0,"+  0.25  N  
","T: + 0.35 N
"
16:47:08.070,1.703,0.25,0,0.0,"+  0.25  N  
","T: + 0.20 N
"
16:47:08.319,1.952,0.2,0,0.0,"+  0.20  N  
","T: + 0.20 N
"
16:47:08.570,2.202,0.0,0,0.0,"+  0.00  N  
","T: + 0.20 N
"
16:47:08.820,2.452,0.0,0,0.0,"+  0.00  N  
","T: + 0.30 N
"
16:47:09.070,2.703,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:09.320,2.953,0.25,0,0.0,"+  0.25  N  
","T: + 0.00 N
"
16:47:09.570,3.203,0.2,0,0.0,"+  0.20  N  
","T: + 0.00 N
"
16:47:09.820,3.453,0.2,0,0.0,"+  0.20  N  
","T: + 0.25 N
"
16:47:10.070,3.703,0.2,0,0.0,"+  0.20  N  
","T: + 0.25 N
"
16:47:10.320,3.953,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:10.571,4.203,0.2,0,0.0,"+  0.20  N  
","T: + 0.20 N
"
16:47:10.821,4.453,0.25,0,0.0,"+  0.25  N  
","T: + 0.20 N
"
16:47:11.071,4.703,0.25,0,0.0,"+  0.25  N  
","T: + 0.20 N
"
16:47:11.321,4.954,0.0,0,0.0,"+  0.00  N  
","T: + 0.20 N
"
16:47:11.571,5.204,0.0,0,0.0,"+  0.00  N  
","T: + 0.20 N
"
16:47:11.822,5.454,0.25,0,0.0,"+  0.25  N  
","T: + 0.00 N
"
16:47:12.071,5.704,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:12.322,5.954,0.2,0,0.0,"+  0.20  N  
","T: + 0.30 N
"
16:47:12.572,6.204,0.2,0,0.0,"+  0.20  N  
","T: + 0.30 N
"
16:47:12.822,6.454,0.25,0,0.0,"+  0.25  N  
","T: + 0.30 N
"
16:47:13.072,6.705,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:13.323,6.955,0.25,0,0.0,"+  0.25  N  
","T: + 0.30 N
"
16:47:13.572,7.205,0.2,0,0.0,"+  0.20  N  
","T: + 0.25 N
"
16:47:13.822,7.455,0.2,0,0.0,"+  0.20  N  
","T: + 0.20 N
"
16:47:14.072,7.705,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:14.322,7.955,0.25,0,0.0,"+  0.25  N  
","T: + 0.20 N
"
16:47:14.573,8.205,0.2,0,0.0,"+  0.20  N  
","T: + 0.00 N
"
16:47:14.823,8.456,0.25,0,0.0,"+  0.25  N  
","T: + 0.25 N
"
16:47:15.073,8.706,0.2,67,16.08,"+  0.20  N  
","T: + 0.25 N
"
16:47:15.323,8.956,0.25,813,195.12,"+  0.25  N  
","T: + 0.40 N
"
16:47:15.573,9.206,0.85,1007,241.68,"+  0.85  N  
","T: + 0.35 N
"
16:47:15.823,9.456,0.75,1001,240.24,"+  0.75  N  
","T: + 0.35 N
"
16:47:16.074,9.706,0.85,1045,250.8,"+  0.85  N  
","T: + 0.70 N
"
16:47:16.324,9.956,0.7,1026,246.24,"+  0.70  N  
","T: + 0.65 N
"
16:47:16.574,10.207,0.7,1026,246.24,"+  0.70  N  
","T: + 0.70 N
"
16:47:16.824,10.457,0.7,1028,246.72,"+  0.70  N  
","T: + 0.70 N
"
16:47:17.074,10.707,0.8,1130,271.2,"+  0.80  N  
","T: + 0.80 N
"
16:47:17.324,10.957,2.25,1624,389.76,"+  2.25  N  
","T: + 4.35 N
"
16:47:17.574,11.207,6.95,1713,411.12,"+  6.95  N  
","T: + 7.00 N
"
16:47:17.824,11.457,7.5,1690,405.6,"+  7.50  N  
","T: + 7.10 N
"
16:47:18.075,11.707,7.15,1716,411.84,"+  7.15  N  
","T: + 6.90 N
"
16:47:18.325,11.957,7.05,1736,416.64,"+  7.05  N  
","T: + 6.90 N
"
16:47:18.575,12.208,7.05,1704,408.96,"+  7.05  N  
","T: + 7.85 N
"
16:47:18.826,12.458,7.9,1715,411.6,"+  7.90  N  
","T: + 7.90 N
"
16:47:19.076,12.708,7.35,1729,414.96,"+  7.35  N  
","T: + 7.65 N
"
16:47:19.326,12.959,7.45,1753,420.72,"+  7.45  N  
","T: + 7.45 N
"
16:47:19.577,13.21,7.3,1724,413.76,"+  7.30  N  
","T: + 7.25 N
"
16:47:19.826,13.459,7.75,1712,410.88,"+  7.75  N  
","T: + 7.25 N
"
16:47:20.077,13.71,8.35,1689,405.36,"+  8.35  N  
","T: + 7.60 N
"
16:47:20.327,13.959,8.2,1734,416.16,"+  8.20  N  
","T: + 7.40 N
"
16:47:20.577,14.21,7.25,1739,417.36,"+  7.25  N  
","T: + 7.35 N
"
16:47:20.827,14.46,8.4,1711,410.64,"+  8.40  N  
","T: + 7.85 N
"
16:47:21.078,14.71,7.5,1718,412.32,"+  7.50  N  
","T: + 6.75 N
"
16:47:21.327,14.96,7.6,1664,399.36,"+  7.60  N  
","T: + 7.30 N
"
16:47:21.577,15.21,7.35,1720,412.8,"+  7.35  N  
","T: + 8.20 N
"
16:47:21.828,15.461,8.15,1687,404.88,"+  8.15  N  
","T: + 7.80 N
"
16:47:22.078,15.71,6.4,1750,420.0,"+  6.40  N  
","T: + 7.45 N
"
16:47:22.328,15.961,8.4,1839,441.36,"+  8.40  N  
","T: + 8.70 N
"
16:47:22.578,16.211,8.65,1845,442.8,"+  8.65  N  
","T: + 8.45 N
"
16:47:22.828,16.461,8.4,1851,444.24,"+  8.40  N  
","T: + 7.95 N
"
16:47:23.078,16.711,8.55,1895,454.8,"+  8.55  N  
","T: + 8.50 N
"
16:47:23.329,16.961,8.55,1895,454.8,"+  8.55  N  
","T: + 8.35 N
"
16:47:23.579,17.211,8.75,1942,466.08,"+  8.75  N  
","T: + 8.50 N
"
16:47:23.829,17.461,8.5,1899,455.76,"+  8.50  N  
","T: + 8.50 N
"
16:47:24.079,17.711,8.7,1909,458.16,"+  8.70  N  
","T: + 8.80 N
"
16:47:24.329,17.962,8.6,1906,457.44,"+  8.60  N  
","T: + 8.65 N
"
16:47:24.579,18.212,8.35,1900,456.0,"+  8.35  N  
","T: + 8.55 N
"
16:47:24.830,18.463,8.9,1924,461.76,"+  8.90  N  
","T: + 8.50 N
"
16:47:25.080,18.712,8.4,1895,454.8,"+  8.40  N  
","T: + 8.20 N
"
16:47:25.330,18.963,8.8,1913,459.12,"+  8.80  N  
","T: + 8.55 N
"
16:47:25.580,19.213,8.15,1881,451.44,"+  8.15  N  
","T: + 8.25 N
"
16:47:25.830,19.463,8.45,1912,458.88,"+  8.45  N  
","T: + 8.55 N
"
16:47:26.080,19.713,8.3,1911,458.64,"+  8.30  N  
","T: + 8.65 N
"
16:47:26.331,19.963,8.35,1914,459.36,"+  8.35  N  
","T: + 8.30 N
"
16:47:26.581,20.214,8.2,1885,452.4,"+  8.20  N  
","T: + 8.65 N
"
16:47:26.831,20.464,8.5,1900,456.0,"+  8.50  N  
","T: + 8.20 N
"
16:47:27.082,20.715,8.7,1891,453.84,"+  8.70  N  
","T: + 8.10 N
"
16:47:27.331,20.964,8.5,1874,449.76,"+  8.50  N  
","T: + 8.20 N
"
16:47:27.581,21.214,8.7,1887,452.88,"+  8.70  N  
","T: + 7.95 N
"
16:47:27.832,21.464,8.15,1897,455.28,"+  8.15  N  
","T: + 7.95 N
"
16:47:28.082,21.714,8.2,1946,467.04,"+  8.20  N  
","T: + 8.15 N
"
16:47:28.332,21.964,8.4,1994,478.56,"+  8.40  N  
","T: + 9.10 N
"
16:47:28.582,22.215,8.45,2002,480.48,"+  8.45  N  
","T: + 8.85 N
"
16:47:28.832,22.465,8.5,1980,475.2,"+  8.50  N  
","T: + 8.90 N
"
16:47:29.082,22.715,8.5,2056,493.44,"+  8.50  N  
","T: + 8.90 N
"
16:47:29.332,22.965,9.15,2125,510.0,"+  9.15  N  
","T: + 9.25 N
"
16:47:29.583,23.215,9.3,2112,506.88,"+  9.30  N  
","T: + 9.30 N
"
16:47:29.833,23.466,8.95,2062,494.88,"+  8.95  N  
","T: + 9.20 N
"
16:47:30.083,23.716,8.95,2090,501.6,"+  8.95  N  
","T: + 9.30 N
"
16:47:30.333,23.966,9.35,2101,504.24,"+  9.35  N  
","T: + 9.20 N
"
16:47:30.583,24.216,9.25,2112,506.88,"+  9.25  N  
","T: + 9.00 N
"
16:47:30.834,24.467,9.15,2114,507.36,"+  9.15  N  
","T: + 9.15 N
"
16:47:31.084,24.717,9.3,2052,492.48,"+  9.30  N  
","T: + 9.50 N
"
16:47:31.334,24.966,9.75,2118,508.32,"+  9.75  N  
","T: + 9.35 N
"
16:47:31.584,25.217,9.15,2126,510.24,"+  9.15  N  
","T: + 9.35 N
"
16:47:31.835,25.467,9.55,2086,500.64,"+  9.55  N  
","T: + 9.45 N
"
16:47:32.084,25.717,9.15,2067,496.08,"+  9.15  N  
","T: + 9.30 N
"
16:47:32.336,25.968,9.35,2143,514.32,"+  9.35  N  
","T: + 9.80 N
"
16:47:32.585,26.217,9.4,2045,490.8,"+  9.40  N  
","T: + 9.40 N
"
16:47:32.835,26.468,9.45,2071,497.04,"+  9.45  N  
","T: + 9.40 N
"
16:47:33.085,26.718,9.3,2047,491.28,"+  9.30  N  
","T: + 9.65 N
"
16:47:33.335,26.968,9.55,2063,495.12,"+  9.55  N  
","T: + 9.50 N
"
16:47:33.585,27.218,9.3,2077,498.48,"+  9.30  N  
","T: + 9.45 N
"
16:47:33.836,27.468,9.35,2127,510.48,"+  9.35  N  
","T: + 9.50 N
"
16:47:34.087,27.719,9.35,2143,514.32,"+  9.35  N  
","T: + 9.75 N
"
16:47:34.336,27.969,9.35,2144,514.56,"+  9.35  N  
","T: + 9.90 N
"
16:47:34.586,28.219,9.75,2151,516.24,"+  9.75  N  
","T: + 10.00 N
"
16:47:34.837,28.469,9.5,2101,504.24,"+  9.50  N  
","T: + 9.55 N
"
16:47:35.087,28.719,9.55,2188,525.12,"+  9.55  N  
","T: + 10.00 N
"
16:47:35.337,28.97,10.15,2193,526.32,"+ 10.15  N  
","T: + 10.20 N
"
16:47:35.587,29.22,10.2,2196,527.04,"+ 10.20  N  
","T: + 10.15 N
"
16:47:35.837,29.47,9.95,2212,530.88,"+  9.95  N  
","T: + 10.15 N
"
16:47:36.088,29.72,10.05,2176,522.24,"+ 10.05  N  
","T: + 9.90 N
"
16:47:36.338,29.971,9.9,2213,531.12,"+  9.90  N  
","T: + 10.05 N
"
16:47:36.587,30.22,10.3,2184,524.16,"+ 10.30  N  
","T: + 9.95 N
"
16:47:36.838,30.47,9.8,2158,517.92,"+  9.80  N  
","T: + 10.05 N
"
16:47:37.088,30.72,10.1,2168,520.32,"+ 10.10  N  
","T: + 10.20 N
"
16:47:37.339,30.971,10.15,2168,520.32,"+ 10.15  N  
","T: + 9.85 N
"
16:47:37.589,31.221,10.0,2202,528.48,"+ 10.00  N  
","T: + 10.00 N
"
16:47:37.838,31.471,9.8,2162,518.88,"+  9.80  N  
","T: + 9.80 N
"
16:47:38.089,31.721,9.9,2155,517.2,"+  9.90  N  
","T: + 9.90 N
"
16:47:38.339,31.971,9.85,2187,524.88,"+  9.85  N  
","T: + 9.85 N
"
16:47:38.589,32.222,9.95,2229,534.96,"+  9.95  N  
","T: + 10.15 N
"
16:47:38.839,32.472,9.75,2161,518.64,"+  9.75  N  
","T: + 10.05 N
"
16:47:39.089,32.722,9.8,2177,522.48,"+  9.80  N  
","T: + 9.75 N
"
16:47:39.339,32.972,10.3,2208,529.92,"+ 10.30  N  
","T: + 9.40 N
"
16:47:39.589,33.222,10.0,2155,517.2,"+ 10.00  N  
","T: + 9.70 N
"
16:47:39.840,33.473,9.95,2177,522.48,"+  9.95  N  
","T: + 10.00 N
"
16:47:40.091,33.723,10.1,2208,529.92,"+ 10.10  N  
","T: + 10.15 N
"
16:47:40.340,33.973,9.9,2226,534.24,"+  9.90  N  
","T: + 10.65 N
"
16:47:40.590,34.223,10.05,2232,535.68,"+ 10.05  N  
","T: + 10.15 N
"
16:47:40.841,34.474,9.95,2198,527.52,"+  9.95  N  
","T: + 10.25 N
"
16:47:41.090,34.723,10.25,2264,543.36,"+ 10.25  N  
","T: + 10.40 N
"
16:47:41.341,34.973,10.45,2245,538.8,"+ 10.45  N  
","T: + 10.25 N
"
16:47:41.591,35.223,10.1,2284,548.16,"+ 10.10  N  
","T: + 10.35 N
"
16:47:41.841,35.474,9.95,2319,556.56,"+  9.95  N  
","T: + 10.10 N
"
16:47:42.092,35.724,10.3,2240,537.6,"+ 10.30  N  
","T: + 10.15 N
"
16:47:42.341,35.974,10.25,2261,542.64,"+ 10.25  N  
","T: + 10.45 N
"
16:47:42.592,36.224,10.3,2269,544.56,"+ 10.30  N  
","T: + 10.05 N
"
16:47:42.842,36.474,10.55,2280,547.2,"+ 10.55  N  
","T: + 10.15 N
"
16:47:43.092,36.725,10.25,2250,540.0,"+ 10.25  N  
","T: + 10.40 N
"
16:47:43.342,36.975,9.95,2226,534.24,"+  9.95  N  
","T: + 10.55 N
"
16:47:43.592,37.225,10.15,2281,547.44,"+ 10.15  N  
","T: + 10.10 N
"
16:47:43.842,37.475,9.95,2230,535.2,"+  9.95  N  
","T: + 10.35 N
"
16:47:44.092,37.725,10.55,2246,539.04,"+ 10.55  N  
","T: + 10.45 N
"
16:47:44.343,37.975,10.55,2257,541.68,"+ 10.55  N  
","T: + 10.25 N
"
16:47:44.593,38.226,10.15,2218,532.32,"+ 10.15  N  
","T: + 10.10 N
"
16:47:44.843,38.476,9.9,2279,546.96,"+  9.90  N  
","T: + 10.25 N
"
16:47:45.093,38.726,10.35,2215,531.6,"+ 10.35  N  
","T: + 9.80 N
"
16:47:45.343,38.976,10.3,2290,549.6,"+ 10.30  N  
","T: + 10.10 N
"
16:47:45.593,39.226,9.95,2279,546.96,"+  9.95  N  
","T: + 10.20 N
"
16:47:45.845,39.478,10.1,2250,540.0,"+ 10.10  N  
","T: + 9.75 N
"
16:47:46.095,39.728,10.3,2277,546.48,"+ 10.30  N  
","T: + 10.40 N
"
16:47:46.345,39.978,10.35,2292,550.08,"+ 10.35  N  
","T: + 10.40 N
"
16:47:46.595,40.228,10.3,2293,550.32,"+ 10.30  N  
","T: + 10.20 N
"
16:47:46.845,40.478,10.35,2319,556.56,"+ 10.35  N  
","T: + 10.15 N
"
16:47:47.096,40.728,10.05,2423,581.52,"+ 10.05  N  
","T: + 10.75 N
"
16:47:47.346,40.978,10.45,2327,558.48,"+ 10.45  N  
","T: + 10.40 N
"
16:47:47.596,41.229,10.45,2388,573.12,"+ 10.45  N  
","T: + 10.30 N
"
16:47:47.847,41.479,9.9,2293,550.32,"+  9.90  N  
","T: + 10.95 N
"
16:47:48.096,41.729,10.1,2318,556.32,"+ 10.10  N  
","T: + 10.35 N
"
16:47:48.347,41.979,10.6,2306,553.44,"+ 10.60  N  
","T: + 10.05 N
"
