timestamp,elapsed_s,force_parsed,short_output,long_output
16:25:24.714,0.21,0.0,"-  0.00  N  
","T: + 0.00 N
"
16:25:25.180,0.677,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:25.646,1.142,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:26.101,1.598,11.65,"+ 11.65  N  
","T: + 13.05 N
"
16:25:26.567,2.063,16.1,"+ 16.10  N  
","T: + 13.55 N
"
16:25:27.027,2.523,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:27.489,2.985,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:27.951,3.447,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:28.433,3.929,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:28.896,4.392,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:29.360,4.856,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:29.816,5.313,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:30.278,5.774,0.0,"+  0.00  N  
","C: - 0.00 N
"
16:25:30.742,6.238,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:31.205,6.701,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:31.671,7.167,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:32.132,7.628,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:32.598,8.094,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:33.061,8.557,0.0,"+  0.00  N  
","T: + 0.00 N
"
16:25:33.524,9.021,0.0,"+  0.00  N  
","T: + 0.00 N
"
