timestamp,elapsed_s,force_parsed,encoder_pulses_in_tick,encoder_RPM,short_output,long_output
13:03:21.789,0.202,9.3,0,0.0,"+  9.30  N  
","T: + 9.15 N
"
13:03:22.039,0.451,9.3,0,0.0,"+  9.30  N  
","T: + 9.20 N
"
13:03:22.289,0.702,9.1,0,0.0,"+  9.10  N  
","T: + 9.30 N
"
13:03:22.539,0.952,9.25,0,0.0,"+  9.25  N  
","T: + 9.25 N
"
13:03:22.789,1.202,9.2,0,0.0,"+  9.20  N  
","T: + 9.25 N
"
13:03:23.039,1.452,9.2,0,0.0,"+  9.20  N  
","T: + 9.15 N
"
13:03:23.290,1.702,9.25,0,0.0,"+  9.25  N  
","T: + 9.30 N
"
13:03:23.539,1.952,9.3,0,0.0,"+  9.30  N  
","T: + 9.20 N
"
13:03:23.790,2.202,9.15,0,0.0,"+  9.15  N  
","T: + 9.30 N
"
13:03:24.040,2.452,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:24.290,2.703,9.3,0,0.0,"+  9.30  N  
","T: + 9.15 N
"
13:03:24.540,2.953,9.25,0,0.0,"+  9.25  N  
","T: + 9.30 N
"
13:03:24.790,3.203,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:25.040,3.453,9.25,0,0.0,"+  9.25  N  
","T: + 9.30 N
"
13:03:25.290,3.703,9.3,0,0.0,"+  9.30  N  
","T: + 9.25 N
"
13:03:25.540,3.953,9.25,0,0.0,"+  9.25  N  
","T: + 9.20 N
"
13:03:25.791,4.203,9.15,0,0.0,"+  9.15  N  
","T: + 9.20 N
"
13:03:26.041,4.453,9.25,0,0.0,"+  9.25  N  
","T: + 9.30 N
"
13:03:26.291,4.703,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:26.541,4.954,9.15,0,0.0,"+  9.15  N  
","T: + 9.25 N
"
13:03:26.792,5.205,9.15,0,0.0,"+  9.15  N  
","T: + 9.20 N
"
13:03:27.042,5.455,9.25,0,0.0,"+  9.25  N  
","T: + 9.25 N
"
13:03:27.292,5.705,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:27.542,5.955,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:27.792,6.205,9.2,0,0.0,"+  9.20  N  
","T: + 9.25 N
"
13:03:28.043,6.455,9.25,0,0.0,"+  9.25  N  
","T: + 9.20 N
"
13:03:28.293,6.705,9.2,0,0.0,"+  9.20  N  
","T: + 9.20 N
"
13:03:28.543,6.956,9.2,0,0.0,"+  9.20  N  
","T: + 9.25 N
"
13:03:28.793,7.206,9.2,0,0.0,"+  9.20  N  
","T: + 9.15 N
"
13:03:29.043,7.456,9.2,0,0.0,"+  9.20  N  
","T: + 9.15 N
"
13:03:29.295,7.707,9.2,0,0.0,"+  9.20  N  
","T: + 9.25 N
"
13:03:29.543,7.956,9.1,0,0.0,"+  9.10  N  
","T: + 9.25 N
"
